symbol,side_group,extra_delay_minutes,signal_utc,btc_signal_bps,gross_bps
DOGEUSDT,both,0,2026-07-01 01:11:00+00:00,-31.026591709881757,-2.812939521801283
DOGEUSDT,both,0,2026-07-01 03:53:00+00:00,27.072276103190518,-9.671179883945502
DOGEUSDT,both,0,2026-07-01 13:41:00+00:00,28.549237088189017,6.945409084595511
DOGEUSDT,both,0,2026-07-01 14:11:00+00:00,33.291309288809856,20.686801820437584
DOGEUSDT,both,0,2026-07-01 15:24:00+00:00,52.4199361177935,-17.694296991968006
DOGEUSDT,both,0,2026-07-01 22:22:00+00:00,37.10219990420427,-6.785181164338239
DOGEUSDT,both,0,2026-07-01 22:30:00+00:00,-31.393988674253137,4.093886462882557
DOGEUSDT,both,0,2026-07-02 03:28:00+00:00,55.30494944236963,-32.83173734610179
DOGEUSDT,both,0,2026-07-02 03:39:00+00:00,28.51093021941864,10.936431989063689
DOGEUSDT,both,0,2026-07-02 09:46:00+00:00,-28.830231669640938,-5.453306066802721
DOGEUSDT,both,0,2026-07-02 12:31:00+00:00,30.468887437944403,-29.49852507374562
DOGEUSDT,both,0,2026-07-02 13:29:00+00:00,-29.01448387039096,-25.46916890080464
DOGEUSDT,both,0,2026-07-02 14:02:00+00:00,28.30572700174727,-50.52519611753792
DOGEUSDT,both,0,2026-07-02 15:37:00+00:00,-32.92390846873161,-21.473627700978604
DOGEUSDT,both,0,2026-07-02 16:16:00+00:00,-28.30381295147788,2.6878107781225236
DOGEUSDT,both,0,2026-07-02 16:28:00+00:00,-41.67314919893528,-10.790396547073478
DOGEUSDT,both,0,2026-07-02 19:56:00+00:00,-27.759364270956155,8.087343307724426
DOGEUSDT,both,0,2026-07-02 20:58:00+00:00,26.867003431991776,-17.524939336747146
DOGEUSDT,both,0,2026-07-03 20:07:00+00:00,40.61448751192742,-11.618900077460248
DOGEUSDT,both,0,2026-07-05 22:21:00+00:00,26.715837567046208,21.719688258590164
DOGEUSDT,both,0,2026-07-06 11:58:00+00:00,-43.318422596954065,80.6556524001556
DOGEUSDT,both,0,2026-07-06 13:31:00+00:00,28.217796248473093,21.419009370815534
DOGEUSDT,both,0,2026-07-06 14:24:00+00:00,34.25407190212226,3.972983710767153
DOGEUSDT,both,0,2026-07-06 15:42:00+00:00,48.44801724784631,-17.07156927117426
DOGEUSDT,both,0,2026-07-06 15:51:00+00:00,57.774615134125185,11.837432592396446
DOGEUSDT,both,0,2026-07-06 21:10:00+00:00,76.86459278543722,-14.115231618119228
DOGEUSDT,both,0,2026-07-07 14:36:00+00:00,-53.846784612563425,-22.976077848357868
DOGEUSDT,both,0,2026-07-08 01:37:00+00:00,-38.353917266764626,-21.92081107001087
DOGEUSDT,both,0,2026-07-08 08:17:00+00:00,-31.539099418136374,45.87155963302947
DOGEUSDT,both,0,2026-07-08 11:44:00+00:00,41.6966873235225,-8.325239350630564
DOGEUSDT,both,0,2026-07-08 14:21:00+00:00,27.19474943381428,2.7773920288831633
DOGEUSDT,both,0,2026-07-08 14:46:00+00:00,-27.847441300234976,1.3986013986011514
DOGEUSDT,both,0,2026-07-09 01:10:00+00:00,58.49239383936222,-37.01672607622775
DOGEUSDT,both,0,2026-07-09 01:41:00+00:00,-28.967242234383406,-2.769315978952136
DOGEUSDT,both,0,2026-07-09 14:16:00+00:00,-29.601484650374488,-6.92328994738256
DOGEUSDT,both,0,2026-07-09 15:23:00+00:00,34.148393063979654,-10.985992859103844
DOGEUSDT,both,0,2026-07-09 18:08:00+00:00,39.19958277361246,9.574613595950687
DOGEUSDT,both,0,2026-07-10 01:49:00+00:00,67.85196105052904,21.618700175651817
DOGEUSDT,both,0,2026-07-10 08:17:00+00:00,27.48875791819927,9.437778077390213
DOGEUSDT,both,0,2026-07-10 14:33:00+00:00,-51.930973410012626,-17.672648178359562
DOGEUSDT,both,0,2026-07-11 15:38:00+00:00,-35.11933980936632,-13.315579227697327
DOGEUSDT,both,0,2026-07-13 00:11:00+00:00,28.891519412841404,25.77319587629079
DOGEUSDT,both,0,2026-07-13 00:46:00+00:00,34.806715580533165,17.752287313941295
DOGEUSDT,both,0,2026-07-13 01:10:00+00:00,-28.47347510874343,-31.528444139821143
DOGEUSDT,both,0,2026-07-13 01:18:00+00:00,-26.49763643745473,-9.586414680908817
DOGEUSDT,both,0,2026-07-13 14:17:00+00:00,-32.16126099163219,-44.46297068222638
DOGEUSDT,both,0,2026-07-13 17:37:00+00:00,-27.35732966559823,-23.869699522605092
DOGEUSDT,both,0,2026-07-14 12:31:00+00:00,94.43454551377073,13.709898546749866
DOGEUSDT,both,0,2026-07-14 14:05:00+00:00,-26.779580918585566,-18.99592944369033
DOGEUSDT,both,0,2026-07-14 15:00:00+00:00,28.105354307950137,2.6842034626217703
DOGEUSDT,both,0,2026-07-14 15:32:00+00:00,61.367429903746995,-15.99786695107297
DOGEUSDT,both,0,2026-07-14 22:21:00+00:00,39.881195646120915,-1.3446282103013463
DOGEUSDT,both,0,2026-07-15 12:31:00+00:00,33.93549651660166,-10.8108108108107
DOGEUSDT,both,0,2026-07-15 13:26:00+00:00,-27.148431321784017,-16.019223067680333
