symbol,observed_minutes,expected_minutes,coverage,july_first,july_last,delay0_eligible_of_78,delay0_gross_bps,delay0_net_fee11_8bps,delay1_eligible_of_78,delay1_gross_bps,delay1_net_fee11_8bps
DOGEUSD,44618,44640,0.9995071684587814,2026-07-01 00:03:00+00:00,2026-07-31 23:59:00+00:00,78,-4.336037128925687,-16.136037128925686,78,-2.78132750904849,-14.58132750904849
1000PEPEUSD,44329,44640,0.9930331541218638,2026-07-01 00:14:00+00:00,2026-07-31 23:59:00+00:00,78,14.804122298325884,3.0041222983258837,78,7.521041220028323,-4.278958779971678
1000SHIBUSD,44200,44640,0.9901433691756273,2026-07-01 01:05:00+00:00,2026-07-31 23:59:00+00:00,77,13.688880577050913,1.8888805770509123,77,11.956929507329816,0.15692950732981537
WIFUSD,44205,44640,0.990255376344086,2026-07-01 00:00:00+00:00,2026-07-31 23:59:00+00:00,76,12.683587085613501,0.8835870856135006,77,10.428408636568884,-1.3715913634311168
1000BONKUSD,44160,44640,0.989247311827957,2026-07-01 00:22:00+00:00,2026-07-31 23:59:00+00:00,78,21.78220221910742,9.982202219107418,78,18.53448625195583,6.734486251955829
1000FLOKIUSD,41192,44640,0.9227598566308244,2026-07-01 01:13:00+00:00,2026-07-31 23:59:00+00:00,71,5.829212202423157,-5.970787797576843,71,4.43680951399436,-7.3631904860056405
