symbol,signal_utc,delay_minutes,side,gross_bps
DOGEUSD,2026-07-01 01:11:00+00:00,0,bear,15.44293134914998
DOGEUSD,2026-07-01 03:53:00+00:00,0,bull,-13.79500620775298
DOGEUSD,2026-07-01 13:41:00+00:00,0,bull,9.711431742507326
DOGEUSD,2026-07-01 14:11:00+00:00,0,bull,17.903869990361088
DOGEUSD,2026-07-01 15:24:00+00:00,0,bull,-19.024323957059774
DOGEUSD,2026-07-01 22:22:00+00:00,0,bull,-35.158891142663684
DOGEUSD,2026-07-01 22:30:00+00:00,0,bear,17.703935721093966
DOGEUSD,2026-07-02 03:28:00+00:00,0,bull,-21.881838074399028
DOGEUSD,2026-07-02 03:39:00+00:00,0,bull,19.12307061876728
DOGEUSD,2026-07-02 09:46:00+00:00,0,bear,-10.893246187362315
DOGEUSD,2026-07-02 12:31:00+00:00,0,bull,-37.473233404708985
DOGEUSD,2026-07-02 13:29:00+00:00,0,bear,-40.182159121349144
DOGEUSD,2026-07-02 14:02:00+00:00,0,bull,-53.08560053085554
DOGEUSD,2026-07-02 15:37:00+00:00,0,bear,-21.43909955781842
DOGEUSD,2026-07-02 16:16:00+00:00,0,bear,12.070815450644368
DOGEUSD,2026-07-02 16:28:00+00:00,0,bear,-9.426339886882129
DOGEUSD,2026-07-02 19:56:00+00:00,0,bear,25.53763440860113
DOGEUSD,2026-07-02 20:58:00+00:00,0,bull,-12.117948027468017
DOGEUSD,2026-07-03 20:07:00+00:00,0,bull,-12.893243940175214
DOGEUSD,2026-07-05 22:21:00+00:00,0,bull,11.473737888834101
DOGEUSD,2026-07-06 11:58:00+00:00,0,bear,94.81750876737306
DOGEUSD,2026-07-06 13:31:00+00:00,0,bull,13.35648457325922
DOGEUSD,2026-07-06 14:24:00+00:00,0,bull,-2.6451527575710454
DOGEUSD,2026-07-06 15:42:00+00:00,0,bull,-19.687623047643932
DOGEUSD,2026-07-06 15:51:00+00:00,0,bull,4.200026250165134
DOGEUSD,2026-07-06 21:10:00+00:00,0,bull,-49.83388704318914
DOGEUSD,2026-07-07 14:36:00+00:00,0,bear,-35.13513513513588
DOGEUSD,2026-07-08 01:37:00+00:00,0,bear,-25.988236903298212
DOGEUSD,2026-07-08 08:17:00+00:00,0,bear,29.17882451021314
DOGEUSD,2026-07-08 11:44:00+00:00,0,bull,4.163197335553814
DOGEUSD,2026-07-08 14:21:00+00:00,0,bull,-16.632016632017745
DOGEUSD,2026-07-08 14:46:00+00:00,0,bear,6.980315510259905
DOGEUSD,2026-07-09 01:10:00+00:00,0,bull,-31.498219665846428
DOGEUSD,2026-07-09 01:41:00+00:00,0,bear,9.673852957434725
DOGEUSD,2026-07-09 14:16:00+00:00,0,bear,-0.0
DOGEUSD,2026-07-09 15:23:00+00:00,0,bull,-20.570488206252957
DOGEUSD,2026-07-09 18:08:00+00:00,0,bull,12.290045063496624
DOGEUSD,2026-07-10 01:49:00+00:00,0,bull,35.149384885766466
DOGEUSD,2026-07-10 08:17:00+00:00,0,bull,12.116316639743108
DOGEUSD,2026-07-10 14:33:00+00:00,0,bear,-6.791632708502693
DOGEUSD,2026-07-11 15:38:00+00:00,0,bear,-18.621973929235924
DOGEUSD,2026-07-13 00:11:00+00:00,0,bull,27.089259108761254
DOGEUSD,2026-07-13 00:46:00+00:00,0,bull,5.454793399699565
DOGEUSD,2026-07-13 01:10:00+00:00,0,bear,-41.11278607647151
DOGEUSD,2026-07-13 01:18:00+00:00,0,bear,-0.0
DOGEUSD,2026-07-13 14:17:00+00:00,0,bear,-44.40743824590587
DOGEUSD,2026-07-13 17:37:00+00:00,0,bear,-15.408320493066618
DOGEUSD,2026-07-14 12:31:00+00:00,0,bull,9.579854933625676
DOGEUSD,2026-07-14 14:05:00+00:00,0,bear,-9.48766603415585
DOGEUSD,2026-07-14 15:00:00+00:00,0,bull,2.6816840976140455
DOGEUSD,2026-07-14 15:32:00+00:00,0,bull,-14.658848614071962
DOGEUSD,2026-07-14 22:21:00+00:00,0,bull,-13.421017313112182
DOGEUSD,2026-07-15 12:31:00+00:00,0,bull,-14.84280124139814
DOGEUSD,2026-07-15 13:26:00+00:00,0,bear,-28.000000000001357
DOGEUSD,2026-07-15 14:22:00+00:00,0,bull,-28.03738317756821
DOGEUSD,2026-07-15 17:49:00+00:00,0,bear,-5.387205387206162
DOGEUSD,2026-07-17 13:58:00+00:00,0,bull,23.637374860956406
DOGEUSD,2026-07-20 01:10:00+00:00,0,bull,-45.514809398192746
DOGEUSD,2026-07-20 05:13:00+00:00,0,bear,-19.908947888678252
DOGEUSD,2026-07-20 08:38:00+00:00,0,bear,-16.762117614190775
DOGEUSD,2026-07-20 11:33:00+00:00,0,bull,27.51410097674878
DOGEUSD,2026-07-20 15:44:00+00:00,0,bull,25.988236903298212
DOGEUSD,2026-07-21 05:49:00+00:00,0,bull,-4.105090311987691
DOGEUSD,2026-07-21 17:47:00+00:00,0,bear,-47.9320734045463
DOGEUSD,2026-07-23 07:12:00+00:00,0,bear,-23.54244564464869
DOGEUSD,2026-07-26 22:01:00+00:00,0,bull,5.462242250444671
DOGEUSD,2026-07-27 14:21:00+00:00,0,bear,8.319467554077642
DOGEUSD,2026-07-27 14:31:00+00:00,0,bear,-12.594458438288658
DOGEUSD,2026-07-27 22:41:00+00:00,0,bear,37.921348314605694
DOGEUSD,2026-07-27 22:58:00+00:00,0,bear,21.273578215855736
DOGEUSD,2026-07-28 15:21:00+00:00,0,bull,49.63834917033117
DOGEUSD,2026-07-29 13:40:00+00:00,0,bull,28.344671201814275
DOGEUSD,2026-07-29 18:01:00+00:00,0,bull,-2.818489289739823
DOGEUSD,2026-07-29 18:32:00+00:00,0,bear,-2.834065466912339
DOGEUSD,2026-07-29 19:48:00+00:00,0,bear,12.873694750393794
DOGEUSD,2026-07-30 11:51:00+00:00,0,bull,-6.976181323764541
DOGEUSD,2026-07-31 01:10:00+00:00,0,bull,-1.4100394811045192
DOGEUSD,2026-07-31 14:07:00+00:00,0,bear,-60.94545454545353
DOGEUSD,2026-07-01 01:11:00+00:00,1,bear,-11.267605633804578
DOGEUSD,2026-07-01 03:53:00+00:00,1,bull,-22.04767810389918
DOGEUSD,2026-07-01 13:41:00+00:00,1,bull,36.10108303249149
DOGEUSD,2026-07-01 14:11:00+00:00,1,bull,31.7831590533868
DOGEUSD,2026-07-01 15:24:00+00:00,1,bull,-24.44655710987398
DOGEUSD,2026-07-01 22:22:00+00:00,1,bull,-35.158891142663684
DOGEUSD,2026-07-01 22:30:00+00:00,1,bear,13.62026695723273
DOGEUSD,2026-07-02 03:28:00+00:00,1,bull,-12.318642211881503
DOGEUSD,2026-07-02 03:39:00+00:00,1,bull,6.8278028130541735
DOGEUSD,2026-07-02 09:46:00+00:00,1,bear,-12.24323221330259
DOGEUSD,2026-07-02 12:31:00+00:00,1,bull,16.122531237405813
DOGEUSD,2026-07-02 13:29:00+00:00,1,bear,-85.7908847184996
DOGEUSD,2026-07-02 14:02:00+00:00,1,bull,-45.110786785194094
DOGEUSD,2026-07-02 15:37:00+00:00,1,bear,-17.41226895258352
DOGEUSD,2026-07-02 16:16:00+00:00,1,bear,16.094420600857305
DOGEUSD,2026-07-02 16:28:00+00:00,1,bear,-16.18341200269935
DOGEUSD,2026-07-02 19:56:00+00:00,1,bear,24.196800645247542
DOGEUSD,2026-07-02 20:58:00+00:00,1,bull,-8.081896551724865
DOGEUSD,2026-07-03 20:07:00+00:00,1,bull,-18.03194229778482
DOGEUSD,2026-07-05 22:21:00+00:00,1,bull,-7.64428589629329
DOGEUSD,2026-07-06 11:58:00+00:00,1,bear,135.31095498308554
DOGEUSD,2026-07-06 13:31:00+00:00,1,bull,9.37834941050486
DOGEUSD,2026-07-06 14:24:00+00:00,1,bull,27.847765548336678
DOGEUSD,2026-07-06 15:42:00+00:00,1,bull,-40.6610703043031
DOGEUSD,2026-07-06 15:51:00+00:00,1,bull,10.498687664042272
DOGEUSD,2026-07-06 21:10:00+00:00,1,bull,-34.82268595570326
DOGEUSD,2026-07-07 14:36:00+00:00,1,bear,-13.50803728218386
DOGEUSD,2026-07-08 01:37:00+00:00,1,bear,-35.57258174852862
DOGEUSD,2026-07-08 08:17:00+00:00,1,bear,-12.557555462537895
DOGEUSD,2026-07-08 11:44:00+00:00,1,bull,18.0605723812155
DOGEUSD,2026-07-08 14:21:00+00:00,1,bull,-13.858093126386528
DOGEUSD,2026-07-08 14:46:00+00:00,1,bear,-9.784735812130574
DOGEUSD,2026-07-09 01:10:00+00:00,1,bull,-8.239494644327605
DOGEUSD,2026-07-09 01:41:00+00:00,1,bear,-13.833171946326939
DOGEUSD,2026-07-09 14:16:00+00:00,1,bear,12.430939226519833
DOGEUSD,2026-07-09 15:23:00+00:00,1,bull,-20.590253946465296
DOGEUSD,2026-07-09 18:08:00+00:00,1,bull,-4.089979550102596
DOGEUSD,2026-07-10 01:49:00+00:00,1,bull,10.81227192863965
DOGEUSD,2026-07-10 08:17:00+00:00,1,bull,2.690703618997148
DOGEUSD,2026-07-10 14:33:00+00:00,1,bear,-9.488952148570817
DOGEUSD,2026-07-11 15:38:00+00:00,1,bear,-11.9633125083074
DOGEUSD,2026-07-13 00:11:00+00:00,1,bull,-4.054054054054568
DOGEUSD,2026-07-13 00:46:00+00:00,1,bull,-8.17772931716032
DOGEUSD,2026-07-13 01:10:00+00:00,1,bear,-57.48699698877591
DOGEUSD,2026-07-13 01:18:00+00:00,1,bear,-0.0
DOGEUSD,2026-07-13 14:17:00+00:00,1,bear,-9.69126401772158
DOGEUSD,2026-07-13 17:37:00+00:00,1,bear,-1.3987970345508138
DOGEUSD,2026-07-14 12:31:00+00:00,1,bull,9.578544061303873
DOGEUSD,2026-07-14 14:05:00+00:00,1,bear,-16.264570344266538
DOGEUSD,2026-07-14 15:00:00+00:00,1,bull,-2.6838432635545306
DOGEUSD,2026-07-14 15:32:00+00:00,1,bull,-10.651045133803771
DOGEUSD,2026-07-14 22:21:00+00:00,1,bull,-13.421017313112182
DOGEUSD,2026-07-15 12:31:00+00:00,1,bull,-5.402485143165547
DOGEUSD,2026-07-15 13:26:00+00:00,1,bear,-17.31486414491279
DOGEUSD,2026-07-15 14:22:00+00:00,1,bull,10.700909577314732
DOGEUSD,2026-07-15 17:49:00+00:00,1,bear,-5.387205387206162
DOGEUSD,2026-07-17 13:58:00+00:00,1,bull,28.21795941061911
DOGEUSD,2026-07-20 01:10:00+00:00,1,bull,-35.56285049924668
DOGEUSD,2026-07-20 05:13:00+00:00,1,bear,-13.904338153505336
DOGEUSD,2026-07-20 08:38:00+00:00,1,bear,4.182933630786367
DOGEUSD,2026-07-20 11:33:00+00:00,1,bull,22.017338654192198
DOGEUSD,2026-07-20 15:44:00+00:00,1,bull,12.301804264625016
DOGEUSD,2026-07-21 05:49:00+00:00,1,bull,-2.7378507871334
DOGEUSD,2026-07-21 17:47:00+00:00,1,bear,-25.984682713346974
DOGEUSD,2026-07-23 07:12:00+00:00,1,bear,-13.838915029060761
DOGEUSD,2026-07-26 22:01:00+00:00,1,bull,-6.819421713037954
DOGEUSD,2026-07-27 14:21:00+00:00,1,bear,35.986159169549836
DOGEUSD,2026-07-27 14:31:00+00:00,1,bear,36.29257398101604
DOGEUSD,2026-07-27 22:41:00+00:00,1,bear,43.53932584269749
DOGEUSD,2026-07-27 22:58:00+00:00,1,bear,39.688164422395644
DOGEUSD,2026-07-28 15:21:00+00:00,1,bull,52.36343051231218
DOGEUSD,2026-07-29 13:40:00+00:00,1,bull,17.00680272108901
DOGEUSD,2026-07-29 18:01:00+00:00,1,bull,5.63300943529077
DOGEUSD,2026-07-29 18:32:00+00:00,1,bear,-23.68357607817062
DOGEUSD,2026-07-29 19:48:00+00:00,1,bear,5.718370264474748
DOGEUSD,2026-07-30 11:51:00+00:00,1,bull,1.4249073810201907
DOGEUSD,2026-07-31 01:10:00+00:00,1,bull,-25.35925612848655
DOGEUSD,2026-07-31 14:07:00+00:00,1,bear,-68.83931683513423
1000PEPEUSD,2026-07-01 01:11:00+00:00,0,bear,100.72747621712286
1000PEPEUSD,2026-07-01 03:53:00+00:00,0,bull,10.278372591006057
1000PEPEUSD,2026-07-01 13:41:00+00:00,0,bull,62.35902879129674
1000PEPEUSD,2026-07-01 14:11:00+00:00,0,bull,0.0
1000PEPEUSD,2026-07-01 15:24:00+00:00,0,bull,78.27872358627586
1000PEPEUSD,2026-07-01 22:22:00+00:00,0,bull,0.0
1000PEPEUSD,2026-07-01 22:30:00+00:00,0,bear,-0.0
1000PEPEUSD,2026-07-02 03:28:00+00:00,0,bull,95.26657552973327
1000PEPEUSD,2026-07-02 03:39:00+00:00,0,bull,23.180343069075793
1000PEPEUSD,2026-07-02 09:46:00+00:00,0,bear,-0.0
1000PEPEUSD,2026-07-02 12:31:00+00:00,0,bull,-71.83673469387753
1000PEPEUSD,2026-07-02 13:29:00+00:00,0,bear,-50.28412575119434
1000PEPEUSD,2026-07-02 14:02:00+00:00,0,bull,-8.850269530935595
1000PEPEUSD,2026-07-02 15:37:00+00:00,0,bear,33.01675294501316
1000PEPEUSD,2026-07-02 16:16:00+00:00,0,bear,-0.0
1000PEPEUSD,2026-07-02 16:28:00+00:00,0,bear,-7.443553055990204
1000PEPEUSD,2026-07-02 19:56:00+00:00,0,bear,39.02879914547408
1000PEPEUSD,2026-07-02 20:58:00+00:00,0,bull,0.0
1000PEPEUSD,2026-07-03 20:07:00+00:00,0,bull,13.312034078807322
1000PEPEUSD,2026-07-05 22:21:00+00:00,0,bull,3.2676179065482813
1000PEPEUSD,2026-07-06 11:58:00+00:00,0,bear,249.66760230462404
1000PEPEUSD,2026-07-06 13:31:00+00:00,0,bull,76.97905097468593
1000PEPEUSD,2026-07-06 14:24:00+00:00,0,bull,70.68072721774898
1000PEPEUSD,2026-07-06 15:42:00+00:00,0,bull,125.42335032937669
1000PEPEUSD,2026-07-06 15:51:00+00:00,0,bull,41.8902035716906
1000PEPEUSD,2026-07-06 21:10:00+00:00,0,bull,0.0
1000PEPEUSD,2026-07-07 14:36:00+00:00,0,bear,16.95937288007876
1000PEPEUSD,2026-07-08 01:37:00+00:00,0,bear,-5.338824695877431
1000PEPEUSD,2026-07-08 08:17:00+00:00,0,bear,152.0912547528519
1000PEPEUSD,2026-07-08 11:44:00+00:00,0,bull,0.0
1000PEPEUSD,2026-07-08 14:21:00+00:00,0,bull,0.0
1000PEPEUSD,2026-07-08 14:46:00+00:00,0,bear,-0.0
1000PEPEUSD,2026-07-09 01:10:00+00:00,0,bull,-74.33952193968918
1000PEPEUSD,2026-07-09 01:41:00+00:00,0,bear,-8.123791102514488
1000PEPEUSD,2026-07-09 14:16:00+00:00,0,bear,15.299877600978284
1000PEPEUSD,2026-07-09 15:23:00+00:00,0,bull,1.1481056257167666
1000PEPEUSD,2026-07-09 18:08:00+00:00,0,bull,1.1401208528094564
1000PEPEUSD,2026-07-10 01:49:00+00:00,0,bull,-25.746268656716698
1000PEPEUSD,2026-07-10 08:17:00+00:00,0,bull,0.0
1000PEPEUSD,2026-07-10 14:33:00+00:00,0,bear,-0.0
1000PEPEUSD,2026-07-11 15:38:00+00:00,0,bear,-28.04948216340586
1000PEPEUSD,2026-07-13 00:11:00+00:00,0,bull,0.0
1000PEPEUSD,2026-07-13 00:46:00+00:00,0,bull,0.0
1000PEPEUSD,2026-07-13 01:10:00+00:00,0,bear,1.445661209296123
1000PEPEUSD,2026-07-13 01:18:00+00:00,0,bear,-0.0
1000PEPEUSD,2026-07-13 14:17:00+00:00,0,bear,1.0897598895709404
1000PEPEUSD,2026-07-13 17:37:00+00:00,0,bear,-0.0
1000PEPEUSD,2026-07-14 12:31:00+00:00,0,bull,-7.228567297961064
1000PEPEUSD,2026-07-14 14:05:00+00:00,0,bear,-0.0
1000PEPEUSD,2026-07-14 15:00:00+00:00,0,bull,0.0
1000PEPEUSD,2026-07-14 15:32:00+00:00,0,bull,27.85709311233342
1000PEPEUSD,2026-07-14 22:21:00+00:00,0,bull,0.0
1000PEPEUSD,2026-07-15 12:31:00+00:00,0,bull,0.0
1000PEPEUSD,2026-07-15 13:26:00+00:00,0,bear,-124.13793103448256
1000PEPEUSD,2026-07-15 14:22:00+00:00,0,bull,-99.74975670791086
1000PEPEUSD,2026-07-15 17:49:00+00:00,0,bear,-0.0
1000PEPEUSD,2026-07-17 13:58:00+00:00,0,bull,35.48327481057045
1000PEPEUSD,2026-07-20 01:10:00+00:00,0,bull,59.03517658154777
1000PEPEUSD,2026-07-20 05:13:00+00:00,0,bear,-0.0
1000PEPEUSD,2026-07-20 08:38:00+00:00,0,bear,-25.58453556960938
1000PEPEUSD,2026-07-20 11:33:00+00:00,0,bull,162.1095108884707
1000PEPEUSD,2026-07-20 15:44:00+00:00,0,bull,0.0
1000PEPEUSD,2026-07-21 05:49:00+00:00,0,bull,9.91452991452979
1000PEPEUSD,2026-07-21 17:47:00+00:00,0,bear,-0.0
1000PEPEUSD,2026-07-23 07:12:00+00:00,0,bear,-0.0
